model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
tsfresh_full_extra_trees,0,0.8539741219963032,0.9635630227980976,1.0,1.0
tsfresh_full_extra_trees,4,0.8576709796672828,0.9637418208531939,1.0,1.0
tsfresh_full_extra_trees,1,0.8558225508317929,0.9621606383160484,1.0,1.0
tsfresh_full_extra_trees,2,0.8521256931608133,0.9623032977558841,1.0,1.0
tsfresh_full_extra_trees,3,0.8613678373382625,0.9642289728407379,1.0,1.0
tsfresh_full_logit_elastic,0,0.833641404805915,0.9292104040238369,0.9813119755911518,0.9970540660056789
tsfresh_full_logit_elastic,1,0.7975970425138632,0.9115481214440705,0.9778794813119756,0.9975353249722899
tsfresh_full_logit_elastic,3,0.8234750462107209,0.9243305851763525,0.9843630816170862,0.9978503221316145
tsfresh_full_logit_elastic,4,0.8317929759704251,0.9232945517912972,0.977116704805492,0.9969413354422756
tsfresh_full_logit_elastic,2,0.8373382624768947,0.9227764094143405,0.9816933638443935,0.9971408373262116
tsfresh_full_logit_l2,2,0.8410351201478743,0.9123905309250137,0.9183829138062548,0.9679103500641479
tsfresh_full_logit_l2,0,0.8456561922365989,0.9209344759717895,0.9187643020594966,0.9677844109295722
tsfresh_full_logit_l2,4,0.8632162661737524,0.9279380862077803,0.9202898550724637,0.9681202888505975
tsfresh_full_logit_l2,1,0.8197781885397413,0.9126860188966154,0.9214340198321892,0.9685916849219026
tsfresh_full_logit_l2,3,0.8410351201478743,0.926394265428914,0.9252479023646072,0.9711556759002722
tsfresh_full_random_forest,4,0.865988909426987,0.9679292023303094,0.9992372234935164,1.0
tsfresh_full_random_forest,0,0.8715341959334566,0.9670603028811985,1.0,1.0
tsfresh_full_random_forest,2,0.8585951940850277,0.9662732621784346,1.0,1.0
tsfresh_full_random_forest,1,0.8613678373382625,0.9681115344530064,0.9996186117467581,1.0
tsfresh_full_random_forest,3,0.8512014787430684,0.9627341713332945,0.998093058733791,0.9999877793082739
tsfresh_full_xgboost,2,0.8853974121996303,0.9684934318555009,1.0,1.0
tsfresh_full_xgboost,3,0.8632162661737524,0.9627102545091755,1.0,1.0
tsfresh_full_xgboost,1,0.866913123844732,0.96316697705411,1.0,1.0
tsfresh_full_xgboost,0,0.9121996303142329,0.9753498988573615,1.0,1.0
tsfresh_full_xgboost,4,0.890018484288355,0.9747322023473939,1.0,1.0
