model_name,trial,accuracy_test,auc_roc_test
tsai_fcn_plus,0,0.9001848428835489,0.9722219371084675
tsai_fcn_plus,3,0.8983364140480592,0.9630542124416955
tsai_fcn_plus,1,0.8475046210720887,0.9454784688995215
tsai_fcn_plus,4,0.8743068391866913,0.9551826757825179
tsai_fcn_plus,2,0.8650646950092421,0.9553903345724908
tsai_inceptiontime_plus,0,0.9205175600739371,0.9751232546761507
tsai_inceptiontime_plus,4,0.9251386321626618,0.9706741561516621
tsai_inceptiontime_plus,1,0.9195933456561922,0.9678263841421735
tsai_inceptiontime_plus,3,0.9251386321626618,0.9735139845204942
tsai_inceptiontime_plus,2,0.9048059149722736,0.9688969221517604
tsai_resnet_plus,3,0.8974121996303143,0.9708623075740231
tsai_resnet_plus,4,0.8835489833641405,0.9690477898844118
tsai_resnet_plus,1,0.8373382624768947,0.9454066985645933
tsai_resnet_plus,0,0.9038817005545287,0.9775147888504555
tsai_resnet_plus,2,0.8946395563770795,0.9589472173627815
tsai_xceptionime_plus,3,0.8641404805914972,0.9552495344188352
tsai_xceptionime_plus,1,0.8243992606284658,0.9340840738209159
tsai_xceptionime_plus,0,0.9029574861367837,0.983885370585156
tsai_xceptionime_plus,4,0.8909426987060998,0.9637825999309819
tsai_xceptionime_plus,2,0.8521256931608133,0.9577274218237481
