model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
tsfresh_full_extra_trees_sce_plus_isi,0,0.7607195147458691,0.806857635243159,1.0,1.0
tsfresh_full_extra_trees_sce_plus_isi,4,0.7657393850658858,0.8137184474448487,1.0,1.0
tsfresh_full_extra_trees_sce_plus_isi,1,0.7621836435892073,0.813626460165376,1.0,1.0
tsfresh_full_extra_trees_sce_plus_isi,2,0.7598828696925329,0.8106099505256323,1.0,1.0
tsfresh_full_extra_trees_sce_plus_isi,3,0.7628111273792094,0.8085433025670892,1.0,1.0
tsfresh_full_logit_elastic_sce_plus_isi,0,0.7308094540891027,0.7963619583203837,0.8143971576426972,0.8895920735930507
tsfresh_full_logit_elastic_sce_plus_isi,1,0.7427316460991424,0.8092845080281753,0.8173322005097706,0.8907024060442257
tsfresh_full_logit_elastic_sce_plus_isi,3,0.7293453252457645,0.8003700419005166,0.815401251255117,0.8903383125013572
tsfresh_full_logit_elastic_sce_plus_isi,4,0.7385484208324619,0.8109806602756375,0.814319919672511,0.8895140266676135
tsfresh_full_logit_elastic_sce_plus_isi,2,0.7301819702991006,0.8043662398255533,0.8157874411060477,0.8898682904968422
tsfresh_full_logit_l2_sce_plus_isi,2,0.7506797741058356,0.8166224774985256,0.808372595968178,0.8794115429202504
tsfresh_full_logit_l2_sce_plus_isi,0,0.746914871365823,0.8096188818237562,0.8058237429520352,0.8790700195028379
tsfresh_full_logit_l2_sce_plus_isi,4,0.7569546120058566,0.8217723482970792,0.8065188846837105,0.8788122797419612
tsfresh_full_logit_l2_sce_plus_isi,1,0.7577912570591926,0.8191963949774685,0.8081408820576196,0.8792035163613383
tsfresh_full_logit_l2_sce_plus_isi,3,0.7452415812591509,0.8141025057712957,0.807909168147061,0.8792723846004611
tsfresh_full_random_forest_sce_plus_isi,4,0.7680401589625602,0.8106141283190921,0.8941839808449834,0.9779413010492397
tsfresh_full_random_forest_sce_plus_isi,0,0.7659485463292198,0.8060577329603839,0.893952266934425,0.9789252515934826
tsfresh_full_random_forest_sce_plus_isi,2,0.760092030955867,0.8111213198298236,0.8925619834710744,0.9783522399969837
tsfresh_full_random_forest_sce_plus_isi,1,0.7646935787492156,0.8111531697073107,0.8924847455008882,0.9784014698022333
tsfresh_full_random_forest_sce_plus_isi,3,0.7649027400125497,0.8095642164267385,0.893952266934425,0.9785546580161805
tsfresh_full_xgboost_sce_plus_isi,2,0.7561179669525204,0.8134783088061575,1.0,1.0
tsfresh_full_xgboost_sce_plus_isi,3,0.7542355155825141,0.8117530389424213,1.0,1.0
tsfresh_full_xgboost_sce_plus_isi,1,0.7586279021125287,0.8174335214595092,1.0,1.0
tsfresh_full_xgboost_sce_plus_isi,0,0.7548629993725162,0.8050702360052974,1.0,1.0
tsfresh_full_xgboost_sce_plus_isi,4,0.7529805480025099,0.8119850348537934,1.0,1.0
