model_name,trial,accuracy_test,auc_roc_test
tsai_fcn_plus,0,0.780171512235934,0.8315671084941187
tsai_fcn_plus,3,0.7766157707592554,0.8284191486956463
tsai_fcn_plus,1,0.787701317715959,0.8260608516912834
tsai_fcn_plus,4,0.7778707383392596,0.8154476154476153
tsai_fcn_plus,2,0.7891654465592972,0.8288178727785809
tsai_inceptiontime_plus,0,0.7682493202258942,0.8269703390423713
tsai_inceptiontime_plus,4,0.7515164191591717,0.8020297395297395
tsai_inceptiontime_plus,1,0.7649027400125497,0.8016966907216098
tsai_inceptiontime_plus,3,0.7713867391759046,0.8286543407814326
tsai_inceptiontime_plus,2,0.7807989960259359,0.8197117916982093
tsai_resnet_plus,3,0.7720142229659067,0.8218636942866872
tsai_resnet_plus,4,0.7642752562225475,0.8053642803642803
tsai_resnet_plus,1,0.7701317715959004,0.8219453844643497
tsai_resnet_plus,0,0.7554904831625183,0.804791993907373
tsai_resnet_plus,2,0.7755699644425852,0.8060556012290186
tsai_xceptionime_plus,3,0.7720142229659067,0.8240637202558133
tsai_xceptionime_plus,1,0.7751516419159171,0.8218735486273493
tsai_xceptionime_plus,0,0.7757791257059192,0.8068151989483499
tsai_xceptionime_plus,4,0.7556996444258524,0.804374216874217
tsai_xceptionime_plus,2,0.7722233842292408,0.8266676326341618
