model_name,trial,accuracy_test,auc_roc_test
tsai_fcn_plus,0,0.7874015748031497,0.8437209302325582
tsai_fcn_plus,3,0.7795275590551181,0.8047495039682538
tsai_fcn_plus,1,0.7440944881889764,0.7992931547619048
tsai_fcn_plus,4,0.8228346456692913,0.8410049627791563
tsai_fcn_plus,2,0.7716535433070866,0.822296626984127
tsai_inceptiontime_plus,0,0.7440944881889764,0.787782945736434
tsai_inceptiontime_plus,4,0.7598425196850394,0.8093052109181141
tsai_inceptiontime_plus,1,0.7322834645669292,0.7917286706349206
tsai_inceptiontime_plus,3,0.7677165354330708,0.8472222222222221
tsai_inceptiontime_plus,2,0.7755905511811023,0.8472222222222221
tsai_resnet_plus,3,0.7795275590551181,0.8217385912698413
tsai_resnet_plus,4,0.8188976377952756,0.8658808933002482
tsai_resnet_plus,1,0.7480314960629921,0.8018353174603176
tsai_resnet_plus,0,0.7677165354330708,0.8175503875968994
tsai_resnet_plus,2,0.7716535433070866,0.8414558531746031
tsai_xceptionime_plus,3,0.7598425196850394,0.8020213293650793
tsai_xceptionime_plus,1,0.7913385826771654,0.8277529761904762
tsai_xceptionime_plus,0,0.7480314960629921,0.7717829457364342
tsai_xceptionime_plus,4,0.7834645669291339,0.8638957816377171
tsai_xceptionime_plus,2,0.7795275590551181,0.8448660714285714
