model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
raw_extra_trees,0,0.6771653543307087,0.703875968992248,1.0,1.0
raw_extra_trees,4,0.7007874015748031,0.7601550387596899,1.0,1.0
raw_extra_trees,1,0.6338582677165354,0.7269035218253967,1.0,1.0
raw_extra_trees,2,0.6653543307086615,0.7445611167002012,1.0,1.0
raw_extra_trees,3,0.6338582677165354,0.7065413020542418,1.0,1.0
raw_logit_elastic,0,0.5393700787401575,0.5545426356589148,0.6042780748663101,0.6406929347826087
raw_logit_elastic,1,0.5905511811023622,0.5716765873015874,0.6096256684491979,0.6319587444587444
raw_logit_elastic,3,0.5511811023622047,0.5321169242226773,0.6096256684491979,0.626420355524573
raw_logit_elastic,4,0.5748031496062992,0.591875968992248,0.5962566844919787,0.6283665911187056
raw_logit_elastic,2,0.5826771653543307,0.5962650905432596,0.5935828877005348,0.6073553281706959
raw_logit_l2,2,0.6456692913385826,0.6729124748490944,0.5628342245989305,0.5780115980579331
raw_logit_l2,0,0.5984251968503937,0.6816744186046512,0.5808823529411765,0.6054383581235698
raw_logit_l2,4,0.6220472440944882,0.6749767441860465,0.5728609625668449,0.5949652169561084
raw_logit_l2,1,0.6023622047244095,0.668030753968254,0.5848930481283422,0.6030298155298155
raw_logit_l2,3,0.562992125984252,0.6291193446285608,0.5748663101604278,0.5937260369466714
raw_random_forest,4,0.6377952755905512,0.7147906976744185,0.9933155080213903,0.9998623692507882
raw_random_forest,0,0.6456692913385826,0.6984186046511628,0.9953208556149733,0.9999106121281465
raw_random_forest,2,0.6535433070866141,0.7369215291750504,0.9939839572192514,0.99988201728983
raw_random_forest,1,0.6259842519685039,0.7126116071428572,0.9939839572192514,0.9998516373516374
raw_random_forest,3,0.610236220472441,0.6924222677341277,0.9933155080213903,0.9999696132843571
raw_xgboost,2,0.6732283464566929,0.7037223340040242,1.0,1.0
raw_xgboost,3,0.6338582677165354,0.6940358716564266,1.0,1.0
raw_xgboost,1,0.6614173228346457,0.7183159722222222,1.0,1.0
raw_xgboost,0,0.6062992125984252,0.6455193798449613,1.0,1.0
raw_xgboost,4,0.6377952755905512,0.7105736434108526,1.0,1.0
